B3:0/0,0,BREAD_IN,"LOAF HAS BEEN","DETECTED AT","PEC4.","","",0,,,0,
B3:0/1,0,MANUAL_KEY,"MANUAL KEY","ON HMI","","","",0,,,0,
B3:0/2,0,MANUAL_MODE_IND,"MANUAL MODE","INDICATION","","","",0,,,0,
B3:0/3,0,DRY_CYCLE_KEY,"DRY CYCLE","KEY ON HMI","","","",0,,,0,
B3:0/4,0,DRY_CYCLE_IND,"DRY CYCLE","INDICATION","","","",0,,,0,
B3:0/5,0,HAND_LOAD_KEY,"HAND LOAD KEY","ON HMI","","","",0,,,0,
B3:0/6,0,HAND_LOAD_IND,"HAND LOAD","INDICATION","","","",0,,,0,
B3:0/7,0,AUTO_CYCLE_KEY,"AUTO CYCLE","KEY ON HMI","","","",0,,,0,
B3:0/8,0,AUTO_CYCLE_IND,"AUTO CYCLE","INDICATION","","","",0,,,0,
B3:0/9,0,INDEX_REQUIRED,"LOAF DETECTED","INDEX OF M4","REQUIRED","","",0,,,0,
B3:0/10,0,INDEX_M4,"INDEX M4","TO MAKE UP","THE ROW","","",0,,,0,
B3:0/11,0,M4_INDEX_AUTO,"CALL FOR M4","TO INDEX TO","ADD TO ROW","","",0,,,0,
B3:0/12,0,PUSHER_PUSH,"CALL FOR THE","BREAD PUSHER","TO PUSH THE ROW","INTO THE PATTERN ON","M5",0,,,0,
B3:0/13,0,CALL_BREAD_TURNER,"CALL FOR THE","BREAD TURNER","TO EXTEND FOR","NEXT LOAFS","",0,,,0,
B3:0/14,0,TURNER_EXTEND,"REQUEST BREAD","TURNER TO","EXTEND","","",0,,,0,
B3:0/15,0,STOP_1_CALL_BASKET,"CALL FOR A BASKET","TO REACH STOP 1 AT","THE TURNTABLE.","","",0,,,0,
B3:1/0,0,HELD_AT_STOP_1,"THE BASKET HAS","SETTLED AT STOP 1","CHECK IF IT NEED","STURNING OR NOT","",0,,,0,
B3:1/1,0,SAVE_REC_KEY,"SAVE RECIPE","KEY ON","RECIPE EDIT","SCREEN","",0,,,0,
B3:1/2,0,LOAD_REC_KEY,"LOAD THE SELECTED","RECIPE KEY ON THE","HMI","","",0,,,0,
B3:1/3,0,SAVING_REC,"SAVING THE RECIPE","MESSAGE ON THE HMI","","","",0,,,0,
B3:1/4,0,STOP_1_RAISE,"CALL FOR STOP 1","TO RAISE TO","CATCH THE NEXT","BASKET","",0,,,0,
B3:1/5,0,STOP_2_OR_3_RAISE,"CALL FOR STOP 2 OR 3","TO RAISE TO CATCH","NEXT BASKET AT FILL","POSITION","",0,,,0,
B3:1/6,0,CALL_M5_TO_ACCEPT,"CALL M5 TO RUN","AS THE ROW IS BEING","PUSHED ONTO M5 BY","THE PUSHER","",0,,,0,
B3:1/7,0,PATTERN_ON_M5,"FULL PATTERN HAS","BEEN CREATED ON M5","READY TO BE SENT","ONTO THE STRIPPER","CONVEYOR.",0,,,0,
B3:1/8,0,MUTE_ALARM,"MUTE ALARM","HAS BEEN","PRESSED","","",0,,,0,
B3:1/9,0,CLOSE_BANNER,"CLOSE THE ALARM","BANNER ON THE HMI","","","",0,,,0,
B3:1/10,0,CHECK_FLAPS,"SHOW THE","CHECK FLAPS","BUTTON","ON SCREEN","",0,,,0,
B3:1/11,0,FLAPS_CHECKED,"FLAPS CHECKED","BUTTON ON SCREEN","","","",0,,,0,
B3:1/12,0,PUSHER_RESET,"PUSHER SERVO","RESET KEY ON","THE HMI","","",0,,,0,
B3:1/13,0,STRIPPER_RESET_KEY,"STRIPPER SERVO","RESET KEY ON","THE HMI","","",0,,,0,
B3:1/14,0,PUSHER_HOME_KEY,"PUSHER SERVO","HOME KEY ON","THE HMI","","",0,,,0,
B3:1/15,0,PUSHER_HOME_DONE,"PUSHER","REFERENCE","MOVE COMPLETED","HOMED","",0,,,0,
B3:2/0,0,PUSHER_START_HOME,"CALL FOR PUSHER","START INDEX OUTPUT","TO START A REFERENCE","MOVE TO HOME","POSITION",0,,,0,
B3:2/1,0,STRIPPER_HOME_KEY,"STRIPPER SERVO","HOME KEY ON","THE HMI","","",0,,,0,
B3:2/2,0,STRIPPER_HOME_DONE,"STRIPPER","REFERENCE","MOVE COMPLETED","HOMED","",0,,,0,
B3:2/3,0,STRIPPER_START_HOME,"CALL FOR STRIPPER","START INDEX OUTPUT","TO START A REFERENCE","MOVE TO HOME","POSITION",0,,,0,
B3:2/4,0,PUSHER_PUSH_LATCH,"PUSHER","PUSH INDEX","REQUIRED","","",0,,,0,
B3:2/5,0,PUSHER_PUSHED,"PUSHER PUSH","CYCLE HAS","COMPLETED","","",0,,,0,
B3:2/6,0,BREAD_PUSHER_RAISE,"CALL FOR THE","BREAD PUSHER","TO RAISE TO","RETURN HOME","",0,,,0,
B3:2/7,0,PUSH_RETURN_LATCH,"PUSHER","RETURN INDEX","REQUIRED","","",0,,,0,
B3:2/8,0,PUSHER_RETURNED,"PUSHER RETURN","CYCLE HAS","COMPLETED","","",0,,,0,
B3:2/9,0,INDEX_M5_TO_M6,"BEGIN TO INDEX","THE COMPLETED","PATTERN ONTO M6","STRIPPER CONVEYOR","",0,,,0,
B3:2/10,0,PATTERN_REACHED_PEC6,"PATTERN BEING","TRANSFERED FROM M5","TO M6 HAS REACHED","THE PEC6 AT THE","END OF M5",0,,,0,
B3:2/11,0,ENCLOSE_PATTERN,"PATTERN HAS REACHED","PEC7 IN THE CORRAL","READY FOR ALL GUIDES","TO ENCLOSE THE","PATTERN.",0,,,0,
B3:2/12,0,RAISE_PIN_TABLE,"CALL FOR THE PIN","TABLE TO RAISE.","CHECK IF GUIDES ARE","IN FOR NARROW EDGE","LEADING",0,,,0,
B3:2/13,0,TOP_CORRAL_CLOSED,"THE TOP CORRAL HAS","FORMED AN ENCLOSURE","AROUND THE PATTERN","IT IS NOW READY FOR","THE STRIPPER CYCLE",0,,,0,
B3:2/14,0,STRIPPER_RETRACT,"REQUEST THE STRIPPER","TO RUN THE RETRACT","CYCLE","","",0,,,0,
B3:2/15,0,STRIP_COMPLETE,"THE STRIPPER","HAS COMPLETED","THE STRIP MOVE","","",0,,,0,
B3:3/0,0,STRIPPER_CLOSE,"THE PIN TABLE HAS","LOWERED CALL FOR THE","STRIPPER TO RETURN","TO THE CLOSED","POSITION",0,,,0,
B3:3/1,0,INFILL_FLAPS,"CALL FOR THE BASKET","INFILL FLAPS TO","RAISE TO GUIDE","PRODUCT INTO LONG","EDGE LEADING BASKET",0,,,0,
B3:3/2,0,AUTO_M4_SLOW,"USE M4 SLOW SPEED","SETTING FOR THIS ROW","OF PRODUCT.","","",0,,,0,
B3:3/3,0,AUTO_M4_FAST,"USE M4 FAST SPEED","SETTING FOR THIS ROW","OF PRODUCT.","","",0,,,0,
B3:3/4,0,GRIPTOP_PAUSE,"PAUSE THE GRIPTOP","BELT TO RE CREAT A","GAP BETWEEN LOAFS","TRANSFERING TO M3","",0,,,0,
B3:3/5,0,RELEASE_ALL,"RELEASE ALL","REQUESTED BY","OPERATOR TO","REMOVE ALL","PRODUCT FROM SYSTEM",0,,,0,
B3:3/6,0,STRIPPER_CLOSE_SLOW,"AFTER A RELEASE ALL","HAS BEEN REQUESTED","AND THE CIRCUIT HAS","THEN BEEN RESET ASK","STRIPPER TO CLOSE",0,,,0,
B3:3/7,0,M4_FULL_PAUSE,"A ROW HAS BEEN","CREATED AND THERE IS","NO WHERE FOR IT TO","GO DROP OUT BREAD","INTERLOCK AND PAUSE",0,,,0,
B3:3/8,0,FEED_INHIBIT,"TOO MANY LOAFS HAVE","ENTERED M4 LATCH ON","FEED INHIBIT UNTIL","IT IS SORTED OUT","",0,,,0,
B3:3/9,0,LOAFS_TIED_TOGETHER,"THE GRIPTOP BELT HAS","BEEN PAUSED BECAUSE","PEC2 AND PEC3 ARE","COVERED TOO LONG","LOAFS TIED TOGETHER",0,,,0,
B3:3/10,0,MCB_CHECK,"CHECK THAT ALL THE","MOTOR CIRCUIT","BREAKERS ARE HEALTHY","","",0,,,0,
B3:3/11,0,INVERTER_CHECK,"CHECK THAT ALL THE","INVERTERS ARE","HEALTHY","","",0,,,0,
B3:3/12,0,ELEC_CHECK,"ELECTRICAL","HEALTH CHECK","","","",0,,,0,
B3:3/13,0,TT_RAISE_AUTO,"CALL FOR TURNTABLE","TO RAISE DURING THE","AUTO CYCLE","","",0,,,0,
B3:3/14,0,FILLED_RESET_KEY,"RESET THE FILLED","BASKET COUNT FROM","THE HMI","","",0,,,0,
B3:3/15,0,ISOL_CHECK,"CHECK THE MOTOR","DISCONNECTS ARE","CONNECTED AND TURNED"," TO THE ON POSITIONS","BEFORE ALLOWING RUN",0,,,0,
B3:4/0,0,ACTIVE_ALARM,"MACHINE HAS AN","ACTIVE ALARM CALL","FOR THE SIREN AND","BEACON TO ALERT","OPERATOR OF PROBLEM",0,,,0,
B3:4/1,0,LOAF_COUNT_DONE,"ENOUGH LOAFS","DETECTED ENTERING M4","TO COMPLETE THE ROW","LATCH LOAFS COUNT","DONE BIT",0,,,0,
B3:4/2,0,,"GRIPPED ONCE","","","","",0,,,0,
B3:4/3,0,ORIENTATION_SAME,"BASKET ORIENTATION","OF RECIPE TO LOAD IS","THE SAME AS THE","CURRENT ORIENTATION","OK TO LOAD RECIPE",0,,,0,
B3:4/4,0,CLOSE_UP_PULSE,"CREATE A SIGNAL TO","REQUEST THE STRIPPER","TO CLOSE BACK UP","AFTER A RELEASE","",0,,,0,
B3:4/5,0,SLEEP,"SEND M2 M3 M7","TO SLEEP","","","",0,,,0,
B3:4/6,0,PUSHER_AT_HOME,"PUSHER IS AT","THE HOME","POSITION","","",0,,,0,
B3:4/7,0,PUSHER_AT_AWAY,"PUSHER IS AT","THE AWAY","POSITION","","",0,,,0,
B3:4/8,0,STRIPPER_AT_HOME,"STRIPPER IS AT","THE HOME","POSITION","","",0,,,0,
B3:4/9,0,STRIPPER_AT_AWAY,"STRIPPER IS AT","THE AWAY","POSITION","","",0,,,0,
B3:4/10,0,RAISE_STOP_4,"RAISE STOP 4","TO CATCH THE BASKET","AT TURNTABLE 2","","",0,,,0,
B3:4/11,0,BASKET_AT_TT2_READY,"BASKET AT STOP 4","HAS SETTLED AND IS","READY TO BE TURNED","OR PASSED TO THE","BASKET CONVEYORS",0,,,0,
B3:4/12,0,TT2_IS_REQUIRED,"TURNTABLE 1 IS","SELECTED TO TURN","BASKETS 90 DEGREES.","SO WE NEED TO TURN","TURNTABLE 2 90 DEGS",0,,,0,
B3:4/13,0,END_OF_LINE_KEY,"END OF LINE KEY","ON CONTROL SCREEN","PRESSED","","",0,,,0,
B3:4/14,0,EJECT_BASKET_KEY,"EJECT BASKET KEY","ON CONTROL SCREEN","PRESSED","","",0,,,0,
B3:4/15,0,MUTE_ALARM_KEY,"MUTE ALAR","KEY ON HMI","","","",0,,,0,
B3:5/0,0,,"RAISED LOAF IN","BASKET ALARM BIT","","","",0,,,0,
B3:5/1,0,,"BASKET FEED CONVEYOR","(M7) INHIBIT","","","",0,,,0,
B3:5/2,0,,"","","","","",0,,,0,
B3:5/9,0,DONT_CALL_IL1,"END OF LINE HAS BEEN","PRESSED LATCH ON THE","KILL BASKET FEED","COMMAND TO STOP","REQUESTING BASKETS",0,,,0,
B3:5/10,0,PERMIT_IL2,"BEGIN CALLING FOR","BASKETS AGAIN AFTER","THE END OF LINE HAS","BEEN USED TO REMOVE","ALL CURRENT BASKETS",0,,,0,
B3:5/11,0,END_OF_LINE_LATCH,"LATCH THE END OF","LINE SIGNAL ON UNTIL","THE END OF LINE","SEQUENCE HAS","COMPLETED.",0,,,0,
B3:5/13,0,CLEAR_OF_BASKETS,"CHECK ALL BASKET","PHOTOCELLS ARE CLEAR","BEFORE ALLOWING THE","PATTERN TO BE LOADED","",0,,,0,
B3:6/0,0,LOAF_AT_PEC3,"LOAF AT PEC3","AFTER GRIPTOP","BELT.","","",0,,,0,
B3:6/1,0,,"OSR","","","","",0,,,0,
B3:6/2,0,PEC3_LOAF_COUNT_DONE,"ENOUGH LOAFS","TO COMPLETE THE ROW","HAVE PASSED BY PEC3","","",0,,,0,
B3:6/4,0,,"OSR","","","","",0,,,0,
B3:6/14,0,,"","","","","",0,,,0,
B3:9/6,0,TRAY_AUTO_CYCLE,"BASKET CONTROL","RUN IN AUTOMATIC","MODE","","",0,,,0,
B3:15/6,0,PATTERN_CHANGE_RESET,"OPERATOR HAS","PRESSED LOAD","RECIPE KEY.","RESET COUNTS","",0,,,0,
B3:15/8,0,TURN_ROW,"LOAFS IN THIS ROW","NEEDS TO BE TURNED","FOR THE PATTERN.","","",0,,,0,
B3:15/10,0,BREAD_AUTO_CYCLE,"BREAD CONTROL","RUN IN AUTOMATIC","MODE","","",0,,,0,
B3:16,0,,"","","","","",0,,,0,
B3:17,0,,"","","","","",0,,,0,
B3:18,0,,"","","","","",0,,,0,
B3:19,0,,"","","","","",0,,,0,
B3:21/14,0,BREAD_HAND_CYCLE,"BREAD CONTROL","RUN IN HAND LOAD","MODE.","U1 U2 U3 U4 CONSTANT","",0,,,0,
B3:40/15,0,,"Recipe change reset","count","","","",0,,,0,
B3:46,0,,"","","","","",0,,,0,
B3:50/0,0,,"","","","","",0,,,0,
B20:0/0,0,,"OSR","","","","",0,,,0,
B20:0/10,0,,"OSR","","","","",0,,,0,
B20:0/11,0,,"OSR","","","","",0,,,0,
B20:0/12,0,,"OSR","","","","",0,,,0,
B20:0/13,0,,"OSR","","","","",0,,,0,
B20:0/14,0,,"OSR","","","","",0,,,0,
B20:0/15,0,,"OSR","","","","",0,,,0,
B20:1/0,0,,"OSR","","","","",0,,,0,
B20:1/1,0,,"OSR","","","","",0,,,0,
B20:1/2,0,,"OSR","","","","",0,,,0,
B20:1/3,0,,"OSR","","","","",0,,,0,
B20:1/4,0,,"OSR","","","","",0,,,0,
B20:1/5,0,,"OSR","","","","",0,,,0,
B20:1/6,0,,"OSR","","","","",0,,,0,
B22:0,0,ALARM_WORD_1,"","","","","",0,,,0,
B22:0/0,0,AL0,"","","","","",0,,,0,
B22:0/1,0,AL1,"","","","","",0,,,0,
B22:0/2,0,AL2,"","","","","",0,,,0,
B22:0/3,0,AL3,"","","","","",0,,,0,
B22:0/4,0,AL4,"","","","","",0,,,0,
B22:0/5,0,AL5,"","","","","",0,,,0,
B22:0/6,0,AL6,"","","","","",0,,,0,
B22:0/7,0,AL7,"","","","","",0,,,0,
B22:0/8,0,AL8,"","","","","",0,,,0,
B22:0/9,0,AL9,"","","","","",0,,,0,
B22:0/10,0,AL10,"","","","","",0,,,0,
B22:0/11,0,AL11,"","","","","",0,,,0,
B22:0/12,0,AL12,"","","","","",0,,,0,
B22:0/13,0,AL13,"","","","","",0,,,0,
B22:0/14,0,AL14,"","","","","",0,,,0,
B22:0/15,0,AL15,"","","","","",0,,,0,
B22:1,0,ALARM_WORD_2,"","","","","",0,,,0,
B22:1/0,0,AL16,"","","","","",0,,,0,
B22:1/1,0,AL17,"","","","","",0,,,0,
B22:1/2,0,AL18,"","","","","",0,,,0,
B22:1/3,0,AL19,"","","","","",0,,,0,
B22:1/4,0,AL20,"","","","","",0,,,0,
B22:1/5,0,AL21,"","","","","",0,,,0,
B22:1/6,0,AL22,"","","","","",0,,,0,
B22:1/7,0,AL23,"","","","","",0,,,0,
B22:1/8,0,AL24,"","","","","",0,,,0,
B22:1/9,0,AL25,"","","","","",0,,,0,
B22:1/10,0,AL26,"","","","","",0,,,0,
B22:1/11,0,AL27,"","","","","",0,,,0,
B22:1/12,0,AL28,"","","","","",0,,,0,
B22:1/13,0,AL29,"","","","","",0,,,0,
B22:1/14,0,AL30,"","","","","",0,,,0,
B22:1/15,0,AL31,"","","","","",0,,,0,
B22:2,0,ALARM_WORD_3,"","","","","",0,,,0,
B22:2/0,0,AL32,"","","","","",0,,,0,
B22:2/1,0,AL33,"","","","","",0,,,0,
B22:2/2,0,AL34,"","","","","",0,,,0,
B22:2/3,0,AL35,"","","","","",0,,,0,
B22:2/4,0,AL36,"","","","","",0,,,0,
B22:2/5,0,AL37,"","","","","",0,,,0,
B22:2/6,0,AL38,"","","","","",0,,,0,
B22:2/7,0,AL39,"","","","","",0,,,0,
B22:2/8,0,AL40,"","","","","",0,,,0,
B22:2/9,0,AL41,"","","","","",0,,,0,
B22:2/10,0,AL42,"","","","","",0,,,0,
B22:2/11,0,AL43,"","","","","",0,,,0,
B22:2/12,0,AL44,"","","","","",0,,,0,
B22:2/13,0,AL45,"","","","","",0,,,0,
B22:2/14,0,AL46,"","","","","",0,,,0,
B22:2/15,0,AL47,"","","","","",0,,,0,
B22:3,0,ALARM_WORD_4,"","","","","",0,,,0,
B22:3/0,0,AL48,"","","","","",0,,,0,
B22:3/1,0,AL49,"","","","","",0,,,0,
B22:3/2,0,AL50,"","","","","",0,,,0,
B22:3/3,0,AL51,"","","","","",0,,,0,
B22:3/4,0,AL52,"","","","","",0,,,0,
B22:3/5,0,AL53,"","","","","",0,,,0,
B22:3/6,0,AL54,"","","","","",0,,,0,
B22:3/7,0,AL55,"","","","","",0,,,0,
B22:3/8,0,AL56,"","","","","",0,,,0,
B22:3/9,0,AL57,"","","","","",0,,,0,
B22:3/10,0,AL58,"","","","","",0,,,0,
B22:3/11,0,AL59,"","","","","",0,,,0,
B22:3/12,0,AL60,"","","","","",0,,,0,
B22:3/13,0,AL61,"","","","","",0,,,0,
B22:3/14,0,AL62,"","","","","",0,,,0,
B22:3/15,0,AL63,"","","","","",0,,,0,
B22:4,0,ALARM_WORD_5,"","","","","",0,,,0,
B22:4/0,0,AL64,"","","","","",0,,,0,
B22:4/1,0,AL65,"","","","","",0,,,0,
B22:4/2,0,AL66,"","","","","",0,,,0,
B22:4/3,0,AL67,"","","","","",0,,,0,
B22:4/4,0,AL68,"","","","","",0,,,0,
B22:4/5,0,AL69,"","","","","",0,,,0,
B22:4/6,0,AL70,"","","","","",0,,,0,
B22:4/7,0,AL71,"","","","","",0,,,0,
B22:4/8,0,AL72,"","","","","",0,,,0,
B22:4/9,0,AL73,"","","","","",0,,,0,
B22:4/10,0,AL74,"","","","","",0,,,0,
B22:4/11,0,AL75,"","","","","",0,,,0,
B22:4/12,0,AL76,"","","","","",0,,,0,
B22:4/13,0,AL77,"","","","","",0,,,0,
B22:4/14,0,AL78,"","","","","",0,,,0,
B22:4/15,0,AL79,"","","","","",0,,,0,
B22:5,0,ALARM_WORD_6,"","","","","",0,,,0,
B22:5/0,0,AL80,"","","","","",0,,,0,
B22:5/1,0,AL81,"","","","","",0,,,0,
B22:5/2,0,AL82,"","","","","",0,,,0,
B22:5/3,0,AL83,"","","","","",0,,,0,
B22:5/4,0,AL84,"","","","","",0,,,0,
B22:5/5,0,AL85,"","","","","",0,,,0,
B22:5/6,0,AL86,"","","","","",0,,,0,
B22:5/7,0,AL87,"","","","","",0,,,0,
B22:5/8,0,AL88,"","","","","",0,,,0,
B22:5/9,0,AL89,"","","","","",0,,,0,
B22:5/10,0,AL90,"","","","","",0,,,0,
B22:5/11,0,AL91,"","","","","",0,,,0,
B22:5/12,0,AL92,"","","","","",0,,,0,
B22:5/13,0,AL93,"METAL","DETECTOR","ALARM","","",0,,,0,
B22:5/14,0,AL94,"","","","","",0,,,0,
B22:5/15,0,AL95,"CHECK","WEIGHER","ALARM","","",0,,,0,
B22:6,0,ALARM_WORD_7,"","","","","",0,,,0,
B22:6/0,0,AL96,"","","","","",0,,,0,
B22:6/1,0,AL97,"","","","","",0,,,0,
B22:6/2,0,AL98,"","","","","",0,,,0,
B22:6/3,0,AL99,"","","","","",0,,,0,
B22:6/4,0,AL100,"","","","","",0,,,0,
B25:0,0,MAN_BITS_ZERO,"MANUAL BITS","WORD ZERO","","","",0,,,0,
B25:0/0,0,MAN0,"PUSHER PUSH","","","","",0,,,0,
B25:0/1,0,MAN1,"PUSHER RETURN","","","","",0,,,0,
B25:0/2,0,MAN2,"PUSHER HOME","","","","",0,,,0,
B25:0/3,0,MAN3,"PUSHER AUTO MODE","","","","",0,,,0,
B25:0/4,0,MAN4,"PUSHER REFERENCE","MODE","","","",0,,,0,
B25:0/5,0,MAN5,"STRIPPER STRIP FAST","","","","",0,,,0,
B25:0/6,0,MAN6,"STRIPPER CLOSE FAST","","","","",0,,,0,
B25:0/7,0,MAN7,"STRIPPER HOME","","","","",0,,,0,
B25:0/8,0,MAN8,"STRIPPER STRIP SLOW","","","","",0,,,0,
B25:0/9,0,MAN9,"STRIPPER CLOSE SLOW","","","","",0,,,0,
B25:0/10,0,MAN10,"STRIPPER AUTO MODE","","","","",0,,,0,
B25:0/11,0,MAN11,"STRIPPER REFERENCE","MODE","","","",0,,,0,
B25:0/12,0,MAN12,"M1 SLOW","","","","",0,,,0,
B25:0/13,0,MAN13,"M1 FAST","","","","",0,,,0,
B25:0/14,0,MAN14,"M2 SLOW","","","","",0,,,0,
B25:0/15,0,MAN15,"M2 FAST","","","","",0,,,0,
B25:1/0,0,MAN16,"M3 SLOW","","","","",0,,,0,
B25:1/1,0,MAN17,"M3 FAST","","","","",0,,,0,
B25:1/2,0,MAN18,"M4 SLOW","","","","",0,,,0,
B25:1/3,0,MAN19,"M4 FAST","","","","",0,,,0,
B25:1/4,0,MAN20,"M5 SLOW","","","","",0,,,0,
B25:1/5,0,MAN21,"M5 FAST","","","","",0,,,0,
B25:1/6,0,MAN22,"M6 SLOW","","","","",0,,,0,
B25:1/7,0,MAN23,"M6 FAST","","","","",0,,,0,
B25:1/8,0,MAN24,"M7 RUN","","","","",0,,,0,
B25:1/9,0,MAN25,"SOL1","","","","",0,,,0,
B25:1/10,0,MAN26,"SOL2","","","","",0,,,0,
B25:1/11,0,MAN27,"SOL3","","","","",0,,,0,
B25:1/12,0,MAN28,"SOL4","","","","",0,,,0,
B25:1/13,0,MAN29,"SOL5","","","","",0,,,0,
B25:1/14,0,MAN30,"SOL6","","","","",0,,,0,
B25:1/15,0,MAN31,"SOL7","","","","",0,,,0,
B25:2/0,0,MAN32,"SOL8","","","","",0,,,0,
B25:2/1,0,MAN33,"SOL9","","","","",0,,,0,
B25:2/2,0,MAN34,"SOL10","","","","",0,,,0,
B25:2/3,0,MAN35,"SOL11","","","","",0,,,0,
B25:2/4,0,MAN36,"SOL12","","","","",0,,,0,
B25:2/5,0,MAN37,"SOL13","","","","",0,,,0,
B25:2/6,0,MAN38,"SOL14","","","","",0,,,0,
B25:2/7,0,MAN39,"SOL15","","","","",0,,,0,
B25:2/8,0,MAN40,"SOL16","","","","",0,,,0,
B25:2/9,0,MAN41,"SOL17","","","","",0,,,0,
B25:2/10,0,MAN42,"SOL18","","","","",0,,,0,
B25:2/11,0,MAN43,"SOL19","","","","",0,,,0,
B25:2/12,0,MAN44,"SOL20","","","","",0,,,0,
B25:2/13,0,MAN45,"SOL21","","","","",0,,,0,
B25:2/14,0,MAN46,"SOL22","","","","",0,,,0,
B25:2/15,0,MAN47,"SOL23","","","","",0,,,0,
B25:3/0,0,MAN48,"SOL24","","","","",0,,,0,
B25:3/1,0,MAN49,"SOL25","","","","",0,,,0,
B25:3/2,0,MAN50,"SOL26","","","","",0,,,0,
B25:3/3,0,MAN51,"SOL27","","","","",0,,,0,
B25:3/4,0,MAN52,"SOL28","","","","",0,,,0,
B25:3/5,0,MAN53,"SOL29","","","","",0,,,0,
B25:3/6,0,MAN54,"SOL30","","","","",0,,,0,
B25:3/7,0,MAN55,"SOL31","","","","",0,,,0,
B25:3/8,0,MAN56,"SOL32","","","","",0,,,0,
B25:3/9,0,MAN57,"SOL33","","","","",0,,,0,
B25:3/10,0,MAN58,"SOL34","","","","",0,,,0,
B25:3/11,0,MAN59,"SOL35","","","","",0,,,0,
B25:3/12,0,MAN60,"SOL36","","","","",0,,,0,
B25:3/13,0,MAN61,"SOL37","","","","",0,,,0,
B25:3/14,0,MAN62,"SOL38","","","","",0,,,0,
B25:3/15,0,MAN63,"SOL39","","","","",0,,,0,
B25:4/0,0,MAN64,"","","","","",0,,,0,
B25:4/1,0,MAN65,"","","","","",0,,,0,
B25:4/2,0,MAN66,"","","","","",0,,,0,
B25:4/3,0,MAN67,"","","","","",0,,,0,
B25:4/4,0,MAN68,"","","","","",0,,,0,
B25:4/5,0,MAN69,"","","","","",0,,,0,
B25:4/6,0,MAN70,"PUSHER REQUEST","TO PUSH IN","MANUAL MODE","","",0,,,0,
B25:4/7,0,MAN71,"PUSHER HAS","PUSHED IN","MANUAL MODE","","",0,,,0,
B25:4/8,0,MAN72,"PUSHER REQUEST","TO RETURN IN","MANUAL MODE","","",0,,,0,
B25:4/9,0,MAN73,"PUSHER HAS","RETURNED IN","MANUAL MODE","","",0,,,0,
